dept1,col1,dept2,col2
Agriculture Research,CoAg,Agriculture Research,CoAg
Cooperative Extension,CoAg,Cooperative Extension,CoAg
Agricultural Research,CoAg,Agricultural Research,CoAg
Mathematics and Economics,CoET,Mathematics and Economics,CoET
Psychology,CoNHS,Psychology,CoNHS
Engineering and Computer Science,CoET,Engineering and Computer Science,CoET
Applied Engineering Technology,CoET,Applied Engineering Technology,CoET
Technology,CoET,Technology,CoET
Office of the Provost,Other,Office of the Provost,Other
Distance Education,Other,Distance Education,Other
Planning and Institutional Effectiveness,Other,Planning and Institutional Effectiveness,Other
Agriculture,CoAg,Agriculture,CoAg
Biology,CoNHS,Biology,CoNHS
Deans,CoAg,Deans,CoAg
Accounting and Finance,CoB,Accounting and Finance,CoB
Management Information Systems,CoB,Management Information Systems,CoB
Educational Leadership,CoEd,Educational Leadership,CoEd
Teaching and Learning,CoEd,Teaching and Learning,CoEd
College of Education,CoEd,College of Education,CoEd
Professional Education Programs,CoEd,Professional Education Programs,CoEd
Computer Information Systems,CoET,Computer Information Systems,CoET
Chemistry,CoNHS,Chemistry,CoNHS
"Health, Physical Education and Recreation",CoEd,"Health, Physical Education and Recreation",CoEd
"Research, Economic Development, and Graduate Studies",Other,"Research, Economic Development, and Graduate Studies",Other
Family and Consumer Sciences,CoAg,Family and Consumer Sciences,CoAg
